288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
103201BIJ	adenosine triphosphate disodium	adenosine triphosphate disodium 20mg
103301BIJ	adenosyl l-methionine sulfatepito	adenosyl l-methionine sulfatepito 192mg
103502ATB	adrenochrome monoaminoguanidine methanesulfonate	adrenochrome monoaminoguanidine methanesulfonate 50mg
256700ATB	aescin	aescin 20mg
103701ATB	aescin	aescin 20mg
103702BIJ	aescin	aescin 5.1mg
103802COM	aesculus hippocastanum L. ext.	aesculus hippocastanum L. ext. 42.6mg
103902BIJ	aesculus hippocastanum L. leaves ext.	aesculus hippocastanum L. leaves ext. 6.4mg
103901BIJ	aesculus hippocastanum L. leaves ext.	aesculus hippocastanum L. leaves ext. 16mg
104004ATB	aesculus hippocastanum L. seeds ext.	aesculus hippocastanum L. seeds ext. 50mg
104005ACR	aesculus hippocastanum L. seeds ext.	aesculus hippocastanum L. seeds ext. 265mg
104101ATB	afloqualone	afloqualone 20mg
104302ASY	albendazol	albendazol 20mg
104303ATB	albendazol	albendazol 400mg
103401CCM	alclomethasone dipropionate	alclomethasone dipropionate 0.5mg
103402COM	alclomethasone dipropionate	alclomethasone dipropionate 1mg
287800AGN	aldioxa	aldioxa 100mg
104701BIJ	alfentanil HCl	alfentanil HCl 1.088mg
104703BIJ	alfentanil HCl	alfentanil HCl 2.72mg
104702BIJ	alfentanil HCl	alfentanil HCl 10.88mg
104803ATR	alfuzosin HCl	alfuzosin HCl 10mg
104803ATR	alfuzosin HCl	alfuzosin HCl 10mg
104902AGN	alibendol	alibendol 50mg
104901ATB	alibendol	alibendol 100mg
105003ATB	allopurinol	allopurinol 300mg
105202ATB	almagate	almagate 1g
105201ASS	almagate	almagate 1.5g
469201ATB	almitrine bismesilate	almitrine bismesilate 50mg
469201ATB	almitrine bismesilate	almitrine bismesilate 50mg
105603BIJ	alprostadil	alprostadil 5㎍
105601BIJ	alprostadil	alprostadil 10㎍
105602BIJ	alprostadil	alprostadil 500㎍
287800AGN	aluminium magnesium silicate	aluminium magnesium silicate 233.3mg
105802ASS	aluminum hydroxide gel	aluminum hydroxide gel 1g
106001ASS	aluminum phosphate colloidal	aluminum phosphate colloidal 12.38g
106303ASY	ambroxol HCl	ambroxol HCl 3mg
106305ALQ	ambroxol HCl	ambroxol HCl 7.5mg
264700ASY	ambroxol HCl	ambroxol HCl 1.5mg
264800ATB	ambroxol HCl	ambroxol HCl 30mg
106302BIJ	ambroxol HCl	ambroxol HCl 15mg
106401CCM	amcinonide	amcinonide 1mg
106801BIJ	amikacin sulfate	amikacin sulfate 100mg
106803BIJ	amikacin sulfate	amikacin sulfate 200mg
106804BIJ	amikacin sulfate	amikacin sulfate 250mg
106805BIJ	amikacin sulfate	amikacin sulfate 500mg
106802BIJ	amikacin sulfate	amikacin sulfate 1g
106901ATB	amiloride HCl	amiloride HCl 5mg
107104BIJ	amino acids	amino acids 2.5%
107105BIJ	amino acids	amino acids 3%
107125BIJ	amino acids	amino acids 3.5%
107107BIJ	amino acids	amino acids 4.5%
107108BIJ	amino acids	amino acids 5%
107110BIJ	amino acids	amino acids 6%
107111BIJ	amino acids	amino acids 6.1%
107112BIJ	amino acids	amino acids 6.5%
107114BIJ	amino acids	amino acids 7.5%
107115BIJ	amino acids	amino acids 8%
107116BIJ	amino acids	amino acids 8.5%
107117BIJ	amino acids	amino acids 10%
107118BIJ	amino acids	amino acids 10.5%
107124BIJ	amino acids	amino acids 11.5%
107119BIJ	amino acids	amino acids 12%
107120BIJ	amino acids	amino acids 12.5%
107121BIJ	amino acids	amino acids 12.8%
107122BIJ	amino acids	amino acids 13%
431500BIJ	amino acids	amino acids 15%
431400BIJ	amino acids	amino acids 15%
317500BIJ	aminoacetic acid	aminoacetic acid 1980mg
455000BIJ	aminoacetic acid	aminoacetic acid 3960mg
317600BIJ	aminoacetic acid	aminoacetic acid 1320mg
317700BIJ	aminoacetic acid	aminoacetic acid 1650mg
455100BIJ	aminoacetic acid	aminoacetic acid 3300mg
428900BIJ	aminoacetic acid	aminoacetic acid 10.3g
454900BIJ	aminoacetic acid	aminoacetic acid 2640mg
381200BIJ	aminoactic acid	aminoactic acid 100mg
381100BIJ	aminoactic acid	aminoactic acid 400mg
107202BIJ	aminocaproic acid	aminocaproic acid 1g
107302BIJ	aminophylline	aminophylline 250mg
107401ATB	amiodarone HCl	amiodarone HCl 200mg
107401ATB	amiodarone HCl	amiodarone HCl 200mg
420003ATB	amisulpiride	amisulpiride 100mg
420004ATB	amisulpiride	amisulpiride 200mg
420002ATB	amisulpiride	amisulpiride 400mg
420003ATB	amisulpiride	amisulpiride 100mg
420004ATB	amisulpiride	amisulpiride 200mg
420002ATB	amisulpiride	amisulpiride 400mg
107504ATB	amitriptyline HCl	amitriptyline HCl 5mg
470802ATB	amlodipine mesylate monohydrate	amlodipine mesylate monohydrate 12.79mg
467600ATB	amoxicillin sodium	amoxicillin sodium 62.5mg
467200ATB	amoxicillin sodium	amoxicillin sodium 100mg
467300ATB	amoxicillin sodium	amoxicillin sodium 125mg
467400ATB	amoxicillin sodium	amoxicillin sodium 200mg
310600ATB	amoxicillin sodium	amoxicillin sodium 250mg
467600ATB	amoxicillin sodium	amoxicillin sodium 62.5mg
467200ATB	amoxicillin sodium	amoxicillin sodium 100mg
467300ATB	amoxicillin sodium	amoxicillin sodium 125mg
467400ATB	amoxicillin sodium	amoxicillin sodium 200mg
310600ATB	amoxicillin sodium	amoxicillin sodium 250mg
310400ASY	amoxicillin sodium	amoxicillin sodium 25mg
358500ASY	amoxicillin sodium	amoxicillin sodium 40mg
310500ATB	amoxicillin sodium	amoxicillin sodium 125mg
310600ATB	amoxicillin sodium	amoxicillin sodium 250mg
310700ATB	amoxicillin sodium	amoxicillin sodium 500mg
440100ATB	amoxicillin sodium	amoxicillin sodium 875mg
108202BIJ	amoxicillin sodium	amoxicillin sodium 250mg
108203BIJ	amoxicillin sodium	amoxicillin sodium 500mg
108201BIJ	amoxicillin sodium	amoxicillin sodium 1g
328900BIJ	amoxicillin sodium	amoxicillin sodium 500mg
329000BIJ	amoxicillin sodium	amoxicillin sodium 1g
381400BIJ	amoxicillin sodium	amoxicillin sodium 250mg
108401BIJ	amphotericin B	amphotericin B 100mg
328500BIJ	ampicillin sodium	ampicillin sodium 500mg
328600BIJ	ampicillin sodium	ampicillin sodium 1000mg
108602ASY	ampicillin sodium	ampicillin sodium 25mg
310800ACH	ampicillin sodium	ampicillin sodium 250mg
310900ACH	ampicillin trihydrate	ampicillin trihydrate 250mg
108701BIJ	amrinone	amrinone 100mg
327100BIJ	antitoxic liver ext.	antitoxic liver ext. 25mg
109501BIJ	antivenin agkistrodon halys	antivenin agkistrodon halys 6000I.U
109701BIJ	aprotinin	aprotinin 10만I.U
109702BIJ	aprotinin	aprotinin 50만I.U
354900CLQ	aprotinin	aprotinin 3000KI.U
360901BIJ	arbekacin sulfate	arbekacin sulfate 75mg
360902BIJ	arbekacin sulfate	arbekacin sulfate 100mg
110102ACS	arginine tidiacicate	arginine tidiacicate 100mg
263600ACH	ascorbic acid	ascorbic acid 20mg
263700ACH	ascorbic acid	ascorbic acid 40mg
403000ATB	ascorbic acid	ascorbic acid 83.3mg
110405ATB	ascorbic acid	ascorbic acid 50mg
110402APD	ascorbic acid	ascorbic acid 100mg
110403ATB	ascorbic acid	ascorbic acid 250mg
110404ATB	ascorbic acid	ascorbic acid 500mg
110407BIJ	ascorbic acid	ascorbic acid 5g
110406BIJ	ascorbic acid	ascorbic acid 10g
110408BIJ	ascorbic acid	ascorbic acid 12.5g
110409BIJ	ascorbic acid	ascorbic acid 25g
301600ATB	ascorbic acid	ascorbic acid 60mg
110501BIJ	asparagine-l-ornithine	asparagine-l-ornithine 500mg
110502BIJ	asparagine-l-ornithine	asparagine-l-ornithine 5g
253200ATB	aspirin	aspirin 325mg
256800ATB	aspirin	aspirin 325mg
111001ATE	aspirin	aspirin 100mg
110802ATB	aspirin encapsulated	aspirin encapsulated 500mg
110902BIJ	aspirin lysine	aspirin lysine 900mg
111301BIJ	astromycin sulfate	astromycin sulfate 200mg
111403ATB	atenolol	atenolol 50mg
111403ATB	atenolol	atenolol 50mg
262100ATB	atenolol	atenolol 50mg
460200ATB	atenolol	atenolol 100mg
111601BIJ	atracurium besylate	atracurium besylate 25mg
111701CTB	atrican	atrican 100mg
111801BIJ	atropine sulfate	atropine sulfate 10mg
111801COS	atropine sulfate	atropine sulfate 10mg
112002ATB	attapulgite	attapulgite 750mg
418801BIJ	autologus chondrocyte	autologus chondrocyte 1200만개이상
112701ACH	azithromycin	azithromycin 250mg
112801BIJ	azlocillin sodium	azlocillin sodium 1g
112802BIJ	azlocillin sodium	azlocillin sodium 2g
113002BIJ	aztreonam	aztreonam 500mg
113001BIJ	aztreonam	aztreonam 1g
413601CLQ	azulene	azulene 200㎍
113101ATB	bacampicillin HCl	bacampicillin HCl 400mg
113102ATB	bacampicillin HCl	bacampicillin HCl 800mg
113201APD	bacillus licheniformis	bacillus licheniformis 250mg
113201ACH	bacillus licheniformis	bacillus licheniformis 250mg
113401COM	bacitracin	bacitracin 500I.U
113501ATB	baclofen	baclofen 10mg
113503ATB	baclofen	baclofen 25mg
113701ATB	bamethan sulfate	bamethan sulfate 25mg
113801ATB	bamiphylline HCl	bamiphylline HCl 300mg
113906ASS	barium sulfate	barium sulfate 15mg
114101ATB	basic aluminum sodium carbonate	basic aluminum sodium carbonate 350mg
114201BIJ	BCG connaught strain	BCG connaught strain 27mg
114502CSI	beclomethasone dipropionate	beclomethasone dipropionate 11.2mg
114503CSI	beclomethasone dipropionate	beclomethasone dipropionate 22.4mg
114801BIJ	bencyclane fumarate	bencyclane fumarate 50mg
413401COS	bendazac lysine	bendazac lysine 5mg
427300ATB	bendroflumethiazide	bendroflumethiazide 5mg
427400ATB	bendroflumethiazide	bendroflumethiazide 5mg
256000ACH	benserazide HCl	benserazide HCl 28.5mg
256200ATB	benserazide HCl	benserazide HCl 57mg
392602CLQ	benzalconium chloride	benzalconium chloride 1mg
115702CLQ	benzethonium. Cl	benzethonium. Cl 0.1mg
116002BIJ	benztropine mesylate	benztropine mesylate 2mg
414001CLT	benzyl benzoate	benzyl benzoate 0.25ml
457401ATB	bepridil HCl	bepridil HCl 100mg
457402ATB	bepridil HCl	bepridil HCl 200mg
457403ATB	bepridil HCl	bepridil HCl 300mg
291200ACH	berberine chloride	berberine chloride 22.5mg
326800BIJ	betaine glucuronate	betaine glucuronate 750mg
296900ATB	betamethasone	betamethasone 250㎍
316100BIJ	betamethasone dipropionate	betamethasone dipropionate 6.43mg
342600CCM	betamethasone dipropionate	betamethasone dipropionate 640㎍
414300CCM	betamethasone dipropionate	betamethasone dipropionate 64㎍
344900CCM	betamethasone dipropionate	betamethasone dipropionate 640㎍
345000CCM	betamethasone dipropionate	betamethasone dipropionate 1mg
346400CCM	betamethasone dipropionate	betamethasone dipropionate 640㎍
116501COS	betamethasone sodium phosphate	betamethasone sodium phosphate 0.5mg
116502BIJ	betamethasone sodium phosphate	betamethasone sodium phosphate 4mg
316100BIJ	betamethasone sodium phosphate	betamethasone sodium phosphate 2.63mg
426200CCM	betamethasone valerate	betamethasone valerate 1mg
414200CCM	betamethasone valerate	betamethasone valerate 1.2mg
345200CCM	betamethasone valerate	betamethasone valerate 1.214mg
116903BIJ	bethanechol chloride	bethanechol chloride 5.15mg
116903BIJ	bethanechol chloride	bethanechol chloride 5.15mg
117301CCM	bifonazole	bifonazole 10mg
287800AGN	biodiastase-2000	biodiastase-2000 30mg
301600ATB	biotin	biotin 300㎍
117601COM	biphenyl acetic acid	biphenyl acetic acid 30mg
117702ACS	biphenyl dimethyl dicarboxylate	biphenyl dimethyl dicarboxylate 7.5mg
117701ATB	biphenyl dimethyl dicarboxylate	biphenyl dimethyl dicarboxylate 25mg
291200ACH	bismuth subnitrate	bismuth subnitrate 225mg
457001ASS	Bismuth subsalicylate	Bismuth subsalicylate 17.6mg
457002ASS	Bismuth subsalicylate	Bismuth subsalicylate 35.2mg
117902ATB	bisoprolol hemifumarate	bisoprolol hemifumarate 5mg
117901ATB	bisoprolol hemifumarate	bisoprolol hemifumarate 10mg
118001BIJ	bleomycin HCl	bleomycin HCl 15mg
458601BIJ	bretylium tosylate	bretylium tosylate 500mg
118501ATB	bromazepam	bromazepam 3mg
295600ACS	bromelain	bromelain 50mg
118601ATB	bromhexine HCl	bromhexine HCl 8mg
264900ASY	bromhexine HCl	bromhexine HCl 800㎍
265000ATB	bromhexine HCl	bromhexine HCl 8mg
396100ALQ	bromhexine HCl	bromhexine HCl 0.2mg
396000ALQ	bromhexine HCl	bromhexine HCl 0.4mg
118602BIJ	bromhexine HCl	bromhexine HCl 4mg
118904ATB	bromperidol	bromperidol 5mg
118901ATB	bromperidol	bromperidol 10mg
118902BIJ	bromperidol	bromperidol 5mg
119001COM	broparestrol	broparestrol 100mg
119201ATB	brovincamin fumarate	brovincamin fumarate 25.36mg
348201ATB	bucillamine	bucillamine 100mg
119303ASY	buclizine	buclizine 2HCl 1mg
119401CLQ	budesonide	budesonide 1mg
119405CLQ	budesonide	budesonide 10mg
119502CSI	budesonide	budesonide 20mg
119504CAE	budesonide	budesonide 60mg
119403CCM	budesonide	budesonide 250㎍
119403COM	budesonide	budesonide 250㎍
119602BIJ	buflomedil HCl	buflomedil HCl 50mg
120102BIJ	bupivacaine HCl	bupivacaine HCl 10mg
120104BIJ	bupivacaine HCl	bupivacaine HCl 20mg
120106BIJ	bupivacaine HCl	bupivacaine HCl 50mg
120101BIJ	bupivacaine HCl	bupivacaine HCl 100mg
120103BIJ	bupivacaine HCl	bupivacaine HCl 150mg
313700BIJ	bupivacaine HCl	bupivacaine HCl 50mg
313800BIJ	bupivacaine HCl	bupivacaine HCl 100mg
120201BIJ	buprenorphine HCl	buprenorphine HCl 200㎍
120202BIJ	buprenorphine HCl	buprenorphine HCl 300㎍
120403CSI	buserelin	buserelin 15mg
120402CIM	buserelin	buserelin 6.3mg
120401CSI	buserelin	buserelin 10mg
120501ATB	buspirone HCl	buspirone HCl 10mg
120701ASY	butamirate citrate	butamirate citrate 1.5mg
120901CLQ	butenafine HCl	butenafine HCl 10mg
268400ACH	butethamate citrate	butethamate citrate 5mg
121101BIJ	butorphanol tartrate	butorphanol tartrate 1mg
121102BIJ	butorphanol tartrate	butorphanol tartrate 2mg
121301BIJ	caffeine and sodium benzoate	caffeine and sodium benzoate 200mg
121302BIJ	caffeine and sodium benzoate	caffeine and sodium benzoate 400mg
251800ATB	caffeine anhydrous	caffeine anhydrous 100mg
253200ATB	caffeine anhydrous	caffeine anhydrous 20mg
269000AGN	caffeine anhydrous	caffeine anhydrous 50mg
121601ACS	calcitriol	calcitriol 0.25㎍
121602BIJ	calcitriol	calcitriol 1㎍
121603BIJ	calcitriol	calcitriol 2㎍
121701ATB	calcium acetate	calcium acetate 710mg
302600ATB	calcium carbonate	calcium carbonate 1500mg
121801ATB	calcium carbonate	calcium carbonate 500mg
388000ACS	calcium carbonate	calcium carbonate 500mg
409100ACS	calcium carbonate	calcium carbonate 1500mg
302600ATB	calcium carbonate	calcium carbonate 1500mg
121902ATB	calcium carbonate p.p.t.	calcium carbonate p.p.t. 1250mg
412300ATB	calcium carbonate p.p.t.	calcium carbonate p.p.t. 1250mg
303200ATB	calcium carbonate p.p.t.	calcium carbonate p.p.t. 240mg
317500BIJ	calcium chloride	calcium chloride 529.8mg
455000BIJ	calcium chloride	calcium chloride 1060mg
317600BIJ	calcium chloride	calcium chloride 529.8mg
317700BIJ	calcium chloride	calcium chloride 369.96mg
455100BIJ	calcium chloride	calcium chloride 740mg
428900BIJ	Calcium chloride	Calcium chloride 0.66g
454900BIJ	calcium chloride	calcium chloride 1060mg
319900BIJ	calcium chloride	calcium chloride 100mg/500ml
414700BIJ	calcium chloride	calcium chloride 200mg/1ℓ
320000BIJ	calcium chloride	calcium chloride 18.5g/500ml
349000BIJ	calcium chloride	calcium chloride 37g/1ℓ
354900CLQ	calcium chloride	calcium chloride 41.7~46.8mg
321000BIJ	calcium chloride	calcium chloride 331mg/20ml
362700BIJ	calcium chloride	calcium chloride 331mg/30ml
449500BIS	calcium chloride	calcium chloride 2H2O 990mg/500ml
321100BIS	calcium chloride	calcium chloride 64.3g/10ℓ
321200BIS	calcium chloride	calcium chloride 77.2g/10ℓ
321300BIS	calcium chloride	calcium chloride 90g/10ℓ
449400BIS	calcium chloride	calcium chloride 2H2O 990mg/500ml
321600BIS	calcium chloride	calcium chloride 366mg/2ℓ
450500BIS	calcium chloride	calcium chloride 1.285g/5ℓ
322600BIS	calcium chloride	calcium chloride 45g/5ℓ
322900BIS	calcium chloride	calcium chloride 77.2g/10ℓ
366600BIS	calcium chloride	calcium chloride 0.418g/2ℓ
359800BIS	calcium chloride	calcium chloride 1.285g/5ℓ
359900BIS	calcium chloride	calcium chloride 1.285g/5ℓ
380900BIS	calcium chloride	calcium chloride 1.045g/5l
400700BIS	calcium chloride	calcium chloride 38.6g/5ℓ
373600BIS	calcium chloride	calcium chloride 64.3g/10ℓ
450600BIS	calcium chloride	calcium chloride 1.285g/5ℓ
450700BIS	calcium chloride	calcium chloride 1.285g/5ℓ
323100BIS	calcium chloride	calcium chloride 128g/20ℓ
323600BIS	calcium chloride	calcium chloride 154.4g/20ℓ
323900BIS	calcium chloride	calcium chloride 180.2g/20ℓ
450900BIS	calcium chloride	calcium chloride 0.4571g
464200BIS	calcium chloride	calcium chloride 0.55125g
324300BIS	calcium chloride	calcium chloride 298.5mg/1.5ℓ
324400BIS	calcium chloride	calcium chloride 298.5mg/1.5ℓ
324500BIS	calcium chloride	calcium chloride 298.5mg/1.5ℓ
350600BIS	calcium chloride	calcium chloride 398mg/2ℓ
350700BIS	calcium chloride	calcium chloride 398mg/2ℓ
350900BIS	calcium chloride	calcium chloride 398mg/2ℓ
351000BIS	calcium chloride	calcium chloride 398mg/2ℓ
351200BIS	calcium chloride	calcium chloride 398mg/2ℓ
351300BIS	calcium chloride	calcium chloride 398mg/2ℓ
352500BIS	calcium chloride	calcium chloride 514mg/2ℓ
352900BIS	calcium chloride	calcium chloride 514mg/2ℓ
350800BIS	calcium chloride	calcium chloride 995mg/5ℓ
351100BIS	calcium chloride	calcium chloride 995mg/5ℓ
351400BIS	calcium chloride	calcium chloride 995mg/5ℓ
353100BIS	calcium chloride	calcium chloride 1.285g/5ℓ
464100BIS	calcium chloride	calcium chloride 0.4571g
463800BIS	calcium chloride	calcium chloride 0.4571g
464400BIS	calcium chloride	calcium chloride 0.55125g
464300BIS	calcium chloride	calcium chloride 0.55125g
355000CIS	calcium chloride	calcium chloride 96mg
355100CIS	calcium chloride	calcium chloride 120mg
355200CIS	calcium chloride	calcium chloride 240mg
303800ALQ	calcium folinate	calcium folinate 37.5㎍
303200ATB	calcium gluconate	calcium gluconate 240mg
122203BIJ	calcium gluconate	calcium gluconate 850mg/10ml
122202BIJ	calcium gluconate	calcium gluconate 2g/20ml
122201BIJ	calcium gluconate	calcium gluconate 10g/100ml
303200ATB	calcium lactate	calcium lactate 271.8mg
301600ATB	calcium pantothenate	calcium pantothenate 10mg
400000BIJ	calsium lactate	calsium lactate 193mg/500ml
448101BIJ	capreomycin sulfate	capreomycin sulfate 1g
122902ATB	captopril	captopril 25mg
122903ATB	captopril	captopril 50mg
262200ATB	captopril	captopril 25mg
262300ATB	captopril	captopril 50mg
123501CCM	carbenoxolone	carbenoxolone 20.8mg
256300ATB	carbidopa	carbidopa 25mg
256400ATB	carbidopa	carbidopa 25mg
396100ALQ	carbinoxamine maleate	carbinoxamine maleate 0.2mg
396000ALQ	carbinoxamine maleate	carbinoxamine maleate 0.4mg
269000AGN	carbinoxamine maleate	carbinoxamine maleate 4mg
123703BIJ	carboplatin	carboplatin 50mg
123701BIJ	carboplatin	carboplatin 150mg
123702BIJ	carboplatin	carboplatin 450mg
123804ACH	carboxymethylcysteine-s	carboxymethylcysteine-s 375mg
123801ACH	carboxymethylcysteine-s	carboxymethylcysteine-s 500mg
123805ASY	carboxymethylcysteine-s	carboxymethylcysteine-s 50mg
123903ACS	carduus marianus ext.	carduus marianus ext. 200mg
123902ASS	carduus marianus ext.	carduus marianus ext. 13.8mg
123906ASY	carduus marianus ext.	carduus marianus ext. 15.7mg
123904ATB	carduus marianus ext.	carduus marianus ext. 50mg
123904ACS	carduus marianus ext.	carduus marianus ext. 50mg
123903ATB	carduus marianus ext.	carduus marianus ext. 200mg
124501ALQ	carnitine	carnitine 1000mg
327100BIJ	carnitine HCl	carnitine HCl 184mg
327100BIJ	carnitine orotate	carnitine orotate 300mg
124601ATB	caroverine HCl	caroverine HCl 20mg
124602BIJ	caroverine HCl	caroverine HCl 40mg
288100ACS	caroverine HCl	caroverine HCl 20mg
124803COS	carteolol HCl	carteolol HCl 20mg
124804ATB	carteolol HCl	carteolol HCl 2.5mg
124805ACR	carteolol HCl	carteolol HCl 15mg
125002ATB	carvedilol	carvedilol 25mg
125204ATR	cefaclor	cefaclor 375mg
125202ASY	cefaclor	cefaclor 25mg
125201ACH	cefaclor	cefaclor 250mg
125204ACH	cefaclor	cefaclor 375mg
125202ASY	cefaclor	cefaclor 25mg
125203ASY	cefaclor	cefaclor 37.5mg
125206ASY	cefaclor	cefaclor 50mg
125208ASY	cefaclor	cefaclor 75mg
125201ACH	cefaclor	cefaclor 250mg
125302ACH	cefadroxil	cefadroxil 250mg
125304ACH	cefadroxil	cefadroxil 500mg
125303ASY	cefadroxil	cefadroxil 25mg
125305ASY	cefadroxil	cefadroxil 50mg
125302ACH	cefadroxil	cefadroxil 250mg
125304ACH	cefadroxil	cefadroxil 500mg
125402BIJ	cefamandole nafate	cefamandole nafate 500mg
125401BIJ	cefamandole nafate	cefamandole nafate 1g
125402BIJ	cefamandole nafate	cefamandole nafate 500mg
125401BIJ	cefamandole nafate	cefamandole nafate 1g
125502BIJ	cefamandole sodium	cefamandole sodium 500mg
125501BIJ	cefamandole sodium	cefamandole sodium 1g
125602ASY	cefatrizine propylene glycol	cefatrizine propylene glycol 50mg
125601ACH	cefatrizine propylene glycol	cefatrizine propylene glycol 250mg
125702BIJ	cefazolin sodium	cefazolin sodium 250mg
125704BIJ	cefazolin sodium	cefazolin sodium 500mg
125701BIJ	cefazolin sodium	cefazolin sodium 1g
125703BIJ	cefazolin sodium	cefazolin sodium 2g
125802BIJ	cefbuperazone sodium	cefbuperazone sodium 500mg
125801BIJ	cefbuperazone sodium	cefbuperazone sodium 1g
125902ACH	cefdinir	cefdinir 50mg
126101BIJ	cefepime HCl	cefepime HCl 1g
126301ACH	cefixime	cefixime 100mg
126403BIJ	cefmenoxime HCl	cefmenoxime HCl 500mg
126401BIJ	cefmenoxime HCl	cefmenoxime HCl 1g
126502BIJ	cefmetazole sodium	cefmetazole sodium 500mg
126501BIJ	cefmetazole sodium	cefmetazole sodium 1g
126503BIJ	cefmetazole sodium	cefmetazole sodium 2g
126602BIJ	cefminox sodium	cefminox sodium 500mg
126601BIJ	cefminox sodium	cefminox sodium 1g
126702BIJ	cefodizime	cefodizime 500mg
126701BIJ	cefodizime	cefodizime 1g
126802BIJ	cefonicid sodium	cefonicid sodium 500mg
126801BIJ	cefonicid sodium	cefonicid sodium 1g
126903BIJ	cefoperazone sodium	cefoperazone sodium 500mg
126901BIJ	cefoperazone sodium	cefoperazone sodium 1g
126902BIJ	cefoperazone sodium	cefoperazone sodium 2g
371300BIJ	cefoperazone sodium	cefoperazone sodium 250mg
329900BIJ	cefoperazone sodium	cefoperazone sodium 500mg
127002BIJ	ceforanide	ceforanide 500mg
127001BIJ	ceforanide	ceforanide 1g
127102BIJ	cefotaxime sodium	cefotaxime sodium 2g
127104BIJ	cefotaxime sodium	cefotaxime sodium 250mg
127103BIJ	cefotaxime sodium	cefotaxime sodium 500mg
127101BIJ	cefotaxime sodium	cefotaxime sodium 1g
127102BIJ	cefotaxime sodium	cefotaxime sodium 2g
127202BIJ	cefotetan disodium	cefotetan disodium 250mg
127203BIJ	cefotetan disodium	cefotetan disodium 500mg
127201BIJ	cefotetan disodium	cefotetan disodium 1g
127302BIJ	cefotiam HCl	cefotiam HCl 500mg
127301BIJ	cefotiam HCl	cefotiam HCl 1g
127302BIJ	cefotiam HCl	cefotiam HCl 500mg
127301BIJ	cefotiam HCl	cefotiam HCl 1g
127501BIJ	cefoxitin sodium	cefoxitin sodium 1g
127502BIJ	cefoxitin sodium	cefoxitin sodium 2g
127702BIJ	cefpiramide sodium	cefpiramide sodium 500mg
